bigram vdur
73 218
8 248
16 130
3 190
69 179
852 145
73 182
88 169
1 170
27 117
10 161
69 100
43 155
2 151
476 138
8 224
0 189
8 161
829 154
54 180
8 160
61 109
311 270
88 130
0 159
1 165
5 201
1616 220
3 200
0 82
1 147
0 279
0 190
0 113
1 116
16 222
11 100
1 147
0 100
7 120
2 131
1 122
6 122
0 90
6 115
0 80
14 155
14 98
0 100
0 69
0 103
6 115
0 102
151 168
1 163
54 127
9 122
0 172
19 161
0 120
1 131
1 165
9 126
65 145
1 237
54 173
65 121
20 175
24 110
11 145
0 179
5 160
21 123
65 134
24 177
46 212
1 99
3471 100
1 73
153 67
9 60
28 67
8 83
1213 66
212 59
13 97
54 45
2986 59
3294 40
106 50
2986 42
7 61
83 81
7 102
97 69
57 47
2986 61
3294 80
45 80
2986 48
3471 80
8 49
358 56
2986 40
83 30
8 129
190 130
32 46
2986 85
2986 58
136 81
4 57
16 62
1776 40
233 66
1776 30
3 81
24 81
233 60
2018 70
63 91
699 59
2986 80
65 61
2986 69
26 115
0 120
2 100
331 156
0 220
0 139
14 120
6 150
0 115
5 200
151 140
59 200
0 151
331 115
59 123
59 193
5 166
0 221
27 71
3 80
8 139
0 213
0 81
2 109
53 109
6 70
18 51
1 113
0 60
0 110
0 133
1 110
0 81
41 160
1 59
6 80
11 90
35 89
11 90
10 99
0 59
2 77
1 89
0 160
6 101
0 90
35 79
1 80
3 76
91 191
207 311
207 120
154 131
18 129
9 222
5 210
207 162
3 167
0 181
207 116
207 146
207 178
20 250
0 49
0 55
1 95
0 146
1 54
184 71
0 60
184 70
1 81
8 50
184 49
2 48
0 120
1 89
2 79
16 70
0 90
1 69
0 120
2 120
0 141
1 68
7 90
