bigram vdur
137 188
229 140
229 150
1 80
14 100
1 267
17 85
114 111
0 191
12 100
2 100
114 83
1 105
1 93
55 173
0 251
2 100
55 150
160 109
1 161
17 120
55 186
0 161
1 160
3 101
14 148
55 70
1 123
160 122
2 180
1 100
1 71
1 90
2 99
55 300
1 147
20 131
20 149
55 79
1 81
55 190
13 131
114 144
1 132
160 90
160 109
55 130
160 70
12 140
10 103
0 102
7 131
215 113
30 126
193 90
10 138
1 151
193 70
1 109
5 117
1 133
132 62
987 59
152 50
23 66
144 52
38 63
7 60
95 59
561 75
987 118
23 66
70 76
6 150
13 110
331 169
125 109
125 111
22 98
331 161
11 177
42 260
177 130
108 109
248 95
177 67
248 49
334 178
177 51
177 179
0 40
177 61
18 80
18 124
177 91
248 71
0 150
334 76
627 50
177 90
177 80
177 61
35 50
334 64
35 134
0 130
177 221
2 39
13 76
14 80
224 87
0 82
63 90
1 68
18 100
18 55
108 69
13 149
10 190
57 109
0 100
0 100
4 130
